#"Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
100,-336.9661865234375,252.48377484811218,0.02492975508721969
200,-347.6241455078125,254.5058392372589,0.02492975508721969
300,-323.52960205078125,234.45148091132765,0.02492975508721969
400,-321.7018127441406,260.4619728747865,0.02492975508721969
500,-320.3758850097656,227.09044687509578,0.02492975508721969
600,-333.61065673828125,296.0654623478059,0.02492975508721969
700,-320.0041198730469,274.1690951948286,0.02492975508721969
800,-331.7159423828125,240.66975856495037,0.02492975508721969
900,-323.27587890625,222.17482788654408,0.02492975508721969
1000,-322.5130615234375,232.2242031932025,0.02492975508721969
1100,-318.86083984375,289.24955655207316,0.02492975508721969
1200,-308.13671875,248.1503922273703,0.02492975508721969
1300,-311.4063415527344,241.33470794701694,0.02492975508721969
1400,-307.5137023925781,225.47693992369486,0.02492975508721969
1500,-322.80291748046875,287.7482891971705,0.02492975508721969
1600,-304.5508117675781,237.5032026292162,0.02492975508721969
1700,-313.26885986328125,293.14137602319926,0.02492975508721969
1800,-316.80328369140625,313.61870852710285,0.02492975508721969
1900,-303.2490539550781,235.04253842618115,0.02492975508721969
2000,-312.3079833984375,290.949830782849,0.02492975508721969
2100,-313.55560302734375,229.3287290726291,0.02492975508721969
2200,-320.8403015136719,290.8018282412502,0.02492975508721969
2300,-318.93487548828125,277.46880959284465,0.02492975508721969
2400,-311.7359313964844,275.8875213006481,0.02492975508721969
2500,-320.3616943359375,272.14453714468823,0.02492975508721969
2600,-291.93853759765625,276.72771280563006,0.02492975508721969
2700,-300.7177734375,361.4973166266641,0.02492975508721969
2800,-292.4275817871094,311.85798067035546,0.02492975508721969
2900,-300.8309020996094,206.5371138066058,0.02492975508721969
3000,-300.0744323730469,219.4772898646972,0.02492975508721969
3100,-313.0411682128906,226.49039731738904,0.02492975508721969
3200,-318.49267578125,250.15643661791015,0.02492975508721969
3300,-305.613037109375,278.48130182945454,0.02492975508721969
3400,-319.5530700683594,362.79173907751715,0.02492975508721969
3500,-308.045654296875,387.7724988382835,0.02492975508721969
3600,-280.0011901855469,173.64234904139673,0.02492975508721969
3700,-277.9800109863281,215.7870630094666,0.02492975508721969
3800,-276.027099609375,255.8826934471351,0.02492975508721969
3900,-297.5657958984375,401.89439197899986,0.02492975508721969
4000,-276.427001953125,302.18145003781973,0.02492975508721969
4100,-304.31451416015625,287.1594178025413,0.02492975508721969
4200,-294.81817626953125,316.8987736507166,0.02492975508721969
4300,-304.9098815917969,358.17301493755133,0.02492975508721969
4400,-324.5533447265625,426.26677078234053,0.02492975508721969
4500,-315.6868591308594,346.7499217235353,0.02492975508721969
4600,-319.2716369628906,452.62594244976793,0.02492975508721969
4700,-322.6534423828125,384.6911022240087,0.02492975508721969
4800,-316.905029296875,326.6747625379457,0.02492975508721969
4900,-319.385986328125,280.27314602561665,0.02492975508721969
5000,-325.120849609375,228.26436105657848,0.02492975508721969
5100,-307.4346923828125,224.93856666764222,0.02492975508721969
5200,-311.2745666503906,218.4102553005148,0.02492975508721969
5300,-317.9367980957031,265.5063684869681,0.02492975508721969
5400,-329.10595703125,270.0595391290895,0.02492975508721969
5500,-330.7750244140625,213.95588318596376,0.02492975508721969
5600,-333.3005065917969,247.83536932002934,0.02492975508721969
5700,-327.6414794921875,187.41443355420648,0.02492975508721969
5800,-318.71209716796875,181.9280415589865,0.02492975508721969
5900,-316.92864990234375,268.91265420481017,0.02492975508721969
6000,-318.38330078125,257.26025975607337,0.02492975508721969
6100,-324.0318908691406,327.62976703321186,0.02492975508721969
6200,-318.5020751953125,361.15085669637114,0.02492975508721969
6300,-320.1105651855469,325.19447426659974,0.02492975508721969
6400,-332.7046203613281,270.21975361202936,0.02492975508721969
6500,-331.5848693847656,335.7046816535379,0.02492975508721969
6600,-335.5124816894531,277.23148067582366,0.02492975508721969
6700,-315.65924072265625,211.8553851076225,0.02492975508721969
6800,-305.1987609863281,216.0057244168492,0.02492975508721969
6900,-326.8556213378906,258.1826699479319,0.02492975508721969
7000,-310.18878173828125,260.9847671716625,0.02492975508721969
7100,-311.3138427734375,215.77951236981536,0.02492975508721969
7200,-316.4307556152344,326.439685335509,0.02492975508721969
7300,-309.6221008300781,284.5920211015536,0.02492975508721969
7400,-321.205322265625,317.1712517455761,0.02492975508721969
7500,-318.6393127441406,301.31831173796365,0.02492975508721969
7600,-309.52581787109375,228.2322912292642,0.02492975508721969
7700,-309.6906433105469,231.28292715538953,0.02492975508721969
7800,-315.4186096191406,282.9654667270374,0.02492975508721969
7900,-308.67755126953125,244.2521077092234,0.02492975508721969
8000,-317.949462890625,333.86537022030166,0.02492975508721969
8100,-317.1554870605469,350.30897308137753,0.02492975508721969
8200,-316.67352294921875,302.8348431433582,0.02492975508721969
8300,-316.145263671875,344.1094773591273,0.02492975508721969
8400,-305.98931884765625,251.8537244135482,0.02492975508721969
8500,-308.6095886230469,328.09715954514627,0.02492975508721969
8600,-296.330810546875,243.14433191858421,0.02492975508721969
8700,-304.23681640625,224.17642217569187,0.02492975508721969
8800,-297.9852294921875,263.72035394473755,0.02492975508721969
8900,-306.1871337890625,286.43090222862,0.02492975508721969
9000,-297.34051513671875,293.4972168629697,0.02492975508721969
9100,-315.8294677734375,379.58989755505365,0.02492975508721969
9200,-306.1258239746094,327.9923799828537,0.02492975508721969
9300,-306.0773010253906,315.82780294702104,0.02492975508721969
9400,-312.61376953125,319.7887324087313,0.02492975508721969
9500,-309.28466796875,238.80362208524576,0.02492975508721969
9600,-317.4846496582031,286.08806221487856,0.02492975508721969
9700,-317.4496154785156,330.8312439803681,0.02492975508721969
9800,-310.71392822265625,346.1854221582621,0.02492975508721969
9900,-292.07183837890625,340.8847662285718,0.02492975508721969
10000,-310.65936279296875,319.6695292759554,0.02492975508721969
